"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSMUSG00000000439",407.682690082229,0.14580701938284,0.0485191633096454,3.00514290513032,0.00265456096859655,0.337407894733849,"Mkrn2"
"ENSMUSG00000000440",20.2008302437586,0.0738474194479347,0.203712203622265,0.362508569122676,0.716972021152833,0.963373242516458,"Pparg"
"ENSMUSG00000000441",1271.14502054038,-0.0478284458644584,0.0378954622338856,-1.26211538387546,0.20690727039554,0.829060011285986,"Raf1"
"ENSMUSG00000000486",10.8737143559217,-0.150523531789661,0.287266878849622,-0.523984987035196,0.600288981890306,0.944372280533463,"Septin1"
"ENSMUSG00000000489",324.544516140212,-0.0479671352466078,0.0789799070878583,-0.607333396749233,0.54362967920244,0.933126805680817,"Pdgfb"
"ENSMUSG00000000530",97.9328396321029,-0.189657885804365,0.177314424298505,-1.06961340880581,0.284793357081131,0.85849852197672,"Acvrl1"
"ENSMUSG00000000531",665.389294352203,-0.0402014735159123,0.0865693105401433,-0.46438481795775,0.642372065367033,0.952824726836359,"Tamalin"
"ENSMUSG00000000532",1759.52015536543,-0.0442424164501235,0.0487089024399415,-0.908302471086777,0.363718437319053,0.880458156557171,"Acvr1b"
"ENSMUSG00000000538",4823.99493602222,-0.00514889442197086,0.0352809880961381,-0.145939632074377,0.883969044639029,0.986372895239373,"Tom1l2"
"ENSMUSG00000000552",562.960809653886,0.136863612988299,0.0811930529926928,1.68565669036507,0.0918619432690126,0.764161997423751,"Zfp385a"
"ENSMUSG00000000555",24.2593537166127,0.0460880443611061,0.254031994188334,0.181426140862152,0.856033101894826,0.983423379970248,"Itga5"
"ENSMUSG00000000560",2733.63604473226,0.360140062484519,0.213160343913855,1.68952655954648,0.0911185664787134,0.764161997423751,"Gabra2"
"ENSMUSG00000000561",889.515577131726,-0.0213421063827198,0.0393024064136052,-0.543022891731431,0.58711404119416,0.941023870326828,"Wdr77"
"ENSMUSG00000000562",19.4529174238571,-0.253767586759388,0.221265803521473,-1.14689022307399,0.251426993933388,0.845920667470488,"Adora3"
"ENSMUSG00000000563",3886.26456380803,0.106132994099775,0.0552973548148919,1.91931412370548,0.0549445916467597,0.71783420665719,"Atp5pb"
"ENSMUSG00000000567",588.142488907819,-0.0060634790023862,0.124475875775367,-0.0487120814745545,0.96114874768247,0.997423206833993,"Sox9"
"ENSMUSG00000000568",2543.13609019211,-0.00470441671802769,0.0401917165143672,-0.117049410326778,0.906820898772618,0.991791250612226,"Hnrnpd"
"ENSMUSG00000000579",114.115070294085,-0.126390214518754,0.112012794144953,-1.12835516231473,0.259169955745688,0.850297774451705,"Dynlt1c"
"ENSMUSG00000000581",755.985639097976,0.133786062381136,0.08459362411969,1.58151472730197,0.113760394279743,0.775920834789639,"C1d"
"ENSMUSG00000000594",899.191551173358,0.0436029891270245,0.0639622282244005,0.681699032967566,0.495429279070773,0.919548270494651,"Gm2a"
"ENSMUSG00000000600",1079.73908857638,-0.070467206727959,0.0751146223430725,-0.938129015760909,0.348178112041727,0.877381632030486,"Krit1"
"ENSMUSG00000000605",3755.795490111,0.0102541847002435,0.0345522463227053,0.296773315531302,0.766639579258939,0.97115766873913,"Clcn4"
"ENSMUSG00000000617",0.242831569401959,1.62894078340218,2.46701667639813,0.660287706599719,0.509069217605487,NA,"Grm6"
"ENSMUSG00000000627",840.44743030261,-0.0804761595909315,0.0809087586571046,-0.994653248012288,0.319904940134731,0.870790040283121,"Sema4f"
"ENSMUSG00000000628",142.628020271443,-0.104202842723993,0.0941674860950927,-1.10656923153673,0.268480216224277,0.851986094340189,"Hk2"
"ENSMUSG00000000631",3465.86171460354,-0.0542736431566205,0.0471155413076467,-1.15192655438752,0.249351255280247,0.845920667470488,"Myo18a"
"ENSMUSG00000000632",2609.83716763816,0.0276866857076883,0.0741106543330308,0.373585767888012,0.708712524081272,0.963024585285847,"Sez6"
